教習所,卒業者数（名）,事故人員（人）,事故者率（％）
尾久,1550,8,0.52
池上,1390,5,0.36
今井,1694,9,0.53
江戸川,1566,4,0.26
中央,1526,6,0.39
トヨタ,3227,14,0.43
豊島,988,1,0.10
東急,2760,12,0.43
秋津,2515,12,0.48
むさし小金井,1040,3,0.29
調布,2458,9,0.37
日の丸,3245,5,0.15
和泉,725,5,0.69
小金井,2331,9,0.39
平和橋,1089,4,0.37
金町,1565,7,0.45
蒲田,1149,3,0.26
王子,1089,7,0.64
飛鳥日野,1420,3,0.21
田無,459,2,0.44
府中,537,2,0.37
武蔵境,5107,19,0.37
新東京,2303,19,0.83
大泉,638,0,0.00
拝島,1162,11,0.95
世田谷,1009,4,0.40
日立,1269,7,0.55
京成,1142,6,0.53
二子玉川,6025,14,0.23
日通,2086,4,0.19
上北沢,1460,2,0.14
石神井,4115,13,0.32
八王子中央,1530,8,0.52
葛西橋,1561,3,0.19
成城,2485,6,0.24
伊豆大島,297,7,2.36
足立,2333,17,0.73
竹の塚,3146,27,0.86
北足立,515,3,0.58
東久留米,1055,8,0.76
新小岩,1238,7,0.57
北豊島園,2789,16,0.57
町田,1405,3,0.21
多摩,2377,9,0.38
西多摩,1456,8,0.55
東京センチュリー,142,2,1.41
飛鳥八王子,1510,10,0.66
合計,84478,363,0.43
